epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,126.11,1.35141,2.27413,0.00153,0.61432,0.52222,0.76302,0.54475,1.34536,2.01008,0.00301,0.0007822,0.0007822,0.0007822
46,128.764,1.27321,2.37656,0.00161,0.57241,0.55109,0.78506,0.58485,1.2962,1.89246,0.00273,0.00077725,0.00077725,0.00077725
47,131.729,1.17826,2.16699,0.00139,0.57241,0.55109,0.78506,0.58485,1.2962,1.89246,0.00273,0.0007723,0.0007723,0.0007723
48,134.498,1.31004,2.31389,0.00174,0.50764,0.87934,0.768,0.57594,1.17095,1.79598,0.0025,0.00076735,0.00076735,0.00076735
49,137.06,1.40161,2.04122,0.00139,0.50764,0.87934,0.768,0.57594,1.17095,1.79598,0.0025,0.0007624,0.0007624,0.0007624
50,139.757,1.24353,2.44044,0.00155,0.59809,0.82845,0.79155,0.61108,1.15768,1.75033,0.00248,0.00075745,0.00075745,0.00075745
51,142.31,1.10385,2.08756,0.00145,0.59809,0.82845,0.79155,0.61108,1.15768,1.75033,0.00248,0.0007525,0.0007525,0.0007525
52,145.402,1.21298,1.98978,0.00145,0.65687,0.84136,0.83004,0.60827,1.25694,1.72569,0.00269,0.00074755,0.00074755,0.00074755
53,147.977,1.20952,2.4721,0.0014,0.65687,0.84136,0.83004,0.60827,1.25694,1.72569,0.00269,0.0007426,0.0007426,0.0007426
54,150.705,1.33856,2.43156,0.00158,0.63032,0.83648,0.83428,0.6062,1.32173,1.72026,0.0028,0.00073765,0.00073765,0.00073765
55,153.228,1.06339,2.39124,0.00152,0.63032,0.83648,0.83428,0.6062,1.32173,1.72026,0.0028,0.0007327,0.0007327,0.0007327
56,155.908,1.09481,2.3604,0.00148,0.65726,0.87128,0.84593,0.63137,1.25494,1.7058,0.00258,0.00072775,0.00072775,0.00072775
57,158.85,1.58203,2.25219,0.00158,0.65726,0.87128,0.84593,0.63137,1.25494,1.7058,0.00258,0.0007228,0.0007228,0.0007228
58,161.583,1.38915,2.05869,0.00152,0.65883,0.87994,0.88415,0.68606,1.19798,1.56344,0.00227,0.00071785,0.00071785,0.00071785
59,164.164,1.06011,2.86371,0.00132,0.65883,0.87994,0.88415,0.68606,1.19798,1.56344,0.00227,0.0007129,0.0007129,0.0007129
60,166.905,1.17123,1.97714,0.00141,0.7876,0.78061,0.88236,0.67104,1.22451,1.50494,0.00224,0.00070795,0.00070795,0.00070795
61,169.434,1.43308,2.06559,0.00144,0.7876,0.78061,0.88236,0.67104,1.22451,1.50494,0.00224,0.000703,0.000703,0.000703
62,172.493,1.39774,1.82606,0.00156,0.84297,0.81035,0.91644,0.66045,1.31201,1.43272,0.00243,0.00069805,0.00069805,0.00069805
63,175.058,1.24085,2.38832,0.00185,0.84297,0.81035,0.91644,0.66045,1.31201,1.43272,0.00243,0.0006931,0.0006931,0.0006931
64,177.742,1.09429,2.91016,0.0015,0.7969,0.8322,0.91582,0.67305,1.29485,1.39596,0.00234,0.00068815,0.00068815,0.00068815
65,180.308,1.36879,2.73189,0.00213,0.7969,0.8322,0.91582,0.67305,1.29485,1.39596,0.00234,0.0006832,0.0006832,0.0006832
66,183.038,1.19342,2.06804,0.00142,0.74697,0.85129,0.91978,0.71174,1.14088,1.34803,0.00211,0.00067825,0.00067825,0.00067825
67,185.993,1.1991,1.84417,0.00138,0.74697,0.85129,0.91978,0.71174,1.14088,1.34803,0.00211,0.0006733,0.0006733,0.0006733
68,188.72,1.17237,1.9748,0.00131,0.77223,0.88356,0.91917,0.73123,1.07137,1.32098,0.002,0.00066835,0.00066835,0.00066835
69,191.282,1.16596,1.79904,0.00146,0.77223,0.88356,0.91917,0.73123,1.07137,1.32098,0.002,0.0006634,0.0006634,0.0006634
70,193.96,1.21223,1.77249,0.00127,0.755,0.89324,0.91889,0.72592,1.08213,1.30582,0.00202,0.00065845,0.00065845,0.00065845
71,196.451,1.08658,1.85536,0.00132,0.755,0.89324,0.91889,0.72592,1.08213,1.30582,0.00202,0.0006535,0.0006535,0.0006535
72,199.511,1.28996,2.10836,0.00159,0.73873,0.90102,0.91848,0.71438,1.09952,1.28594,0.0021,0.00064855,0.00064855,0.00064855
73,201.98,1.16881,1.74594,0.00132,0.73873,0.90102,0.91848,0.71438,1.09952,1.28594,0.0021,0.0006436,0.0006436,0.0006436
74,204.645,1.19622,1.90553,0.00136,0.87505,0.74677,0.91262,0.71261,1.09276,1.25751,0.002,0.00063865,0.00063865,0.00063865
75,207.185,1.045,1.67426,0.00133,0.87505,0.74677,0.91262,0.71261,1.09276,1.25751,0.002,0.0006337,0.0006337,0.0006337
76,210.242,1.05409,1.76517,0.0013,0.8753,0.76194,0.91413,0.7175,1.09101,1.25906,0.00198,0.00062875,0.00062875,0.00062875
77,212.774,1.37198,1.88828,0.00138,0.8753,0.76194,0.91413,0.7175,1.09101,1.25906,0.00198,0.0006238,0.0006238,0.0006238
78,215.479,1.22217,2.19847,0.00166,0.89063,0.77256,0.91642,0.70713,1.12266,1.24486,0.00202,0.00061885,0.00061885,0.00061885
